Subject,Trial,Condition,forceFC
1,trial_1,tilt,0.0314
1,trial_2,straight,0.0352
1,trial_3,tilt,0.0323
1,trial_4,straight,0.0283
1,trial_5,straight,0.0274
1,trial_6,straight,0.0358
1,trial_7,straight,0.0334
1,trial_8,tilt,0.0301
1,trial_9,tilt,0.0348
1,trial_10,tilt,0.0329
1,trial_11,straight,0.0349
1,trial_12,tilt,0.0367
1,trial_13,straight,0.0368
1,trial_14,tilt,0.0342
2,trial_1,tilt,0.0202
2,trial_2,tilt,0.0212
2,trial_3,straight,0.0224
2,trial_4,tilt,0.0271
2,trial_5,straight,0.0252
2,trial_6,straight,0.0297
2,trial_7,tilt,0.033
2,trial_8,straight,0.0202
2,trial_9,tilt,0.0265
2,trial_10,tilt,0.0204
2,trial_11,straight,0.0288
2,trial_12,tilt,0.0285
2,trial_13,straight,0.0266
2,trial_14,straight,0.0275
3,trial_1,straight,0.0347
3,trial_2,tilt,0.035
3,trial_3,straight,0.0297
3,trial_4,straight,0.0243
3,trial_5,tilt,0.028
3,trial_6,straight,0.0282
3,trial_7,straight,0.0317
3,trial_8,tilt,0.0279
3,trial_9,tilt,0.0344
3,trial_10,tilt,0.0374
3,trial_11,straight,0.0264
3,trial_12,tilt,0.0429
3,trial_13,straight,0.042
3,trial_14,tilt,0.0436
4,trial_1,straight,0.0331
4,trial_2,straight,0.0322
4,trial_3,straight,0.0339
4,trial_4,straight,0.0345
4,trial_5,tilt,0.0361
4,trial_6,straight,0.04
4,trial_7,tilt,0.0304
4,trial_8,tilt,0.0343
4,trial_9,straight,0.0418
4,trial_10,tilt,0.0273
4,trial_11,tilt,0.0351
4,trial_12,straight,0.0362
4,trial_13,tilt,0.0295
4,trial_14,tilt,0.0296
5,trial_1,tilt,0.0293
5,trial_2,tilt,0.0343
5,trial_3,straight,0.0379
5,trial_4,straight,0.0302
5,trial_5,straight,0.0289
5,trial_6,straight,0.0273
5,trial_7,tilt,0.035
5,trial_8,tilt,0.0332
5,trial_9,straight,0.0287
5,trial_10,tilt,0.0378
5,trial_11,tilt,0.0377
5,trial_12,tilt,0.0307
5,trial_13,straight,0.0325
5,trial_14,straight,0.0309
6,trial_1,tilt,0.0321
6,trial_2,tilt,0.0306
6,trial_3,straight,0.0353
6,trial_4,tilt,0.0344
6,trial_5,straight,0.0399
6,trial_6,tilt,0.0409
6,trial_7,tilt,0.0315
6,trial_8,tilt,0.0352
6,trial_9,straight,0.04
6,trial_10,straight,0.031
6,trial_11,straight,0.0328
6,trial_12,tilt,0.052
6,trial_13,straight,0.0323
6,trial_14,straight,0.0325
7,trial_1,tilt,0.037
7,trial_2,tilt,0.0415
7,trial_3,straight,0.0416
7,trial_4,tilt,0.033
7,trial_5,tilt,0.0393
7,trial_6,tilt,0.0351
7,trial_7,tilt,0.0382
7,trial_8,tilt,0.0302
7,trial_9,straight,0.0416
7,trial_10,straight,0.0374
7,trial_11,straight,0.0288
7,trial_12,straight,0.0376
7,trial_13,straight,0.0293
7,trial_14,straight,0.0352
8,trial_1,straight,0.0264
8,trial_2,straight,0.0413
8,trial_3,tilt,0.0316
8,trial_4,tilt,0.0247
8,trial_5,tilt,0.0252
8,trial_6,straight,0.0252
8,trial_7,tilt,0.0281
8,trial_8,tilt,0.0307
8,trial_9,straight,0.0326
8,trial_10,tilt,0.0255
8,trial_11,straight,0.0277
8,trial_12,straight,0.03
8,trial_13,tilt,0.0293
8,trial_14,straight,0.0253
9,trial_1,straight,0.028
9,trial_2,tilt,0.0348
9,trial_3,straight,0.0275
9,trial_4,straight,0.0291
9,trial_5,straight,0.0277
9,trial_6,tilt,0.0308
9,trial_7,tilt,0.0278
9,trial_8,tilt,0.0266
9,trial_9,tilt,0.0305
9,trial_10,straight,0.0346
9,trial_11,tilt,0.0298
9,trial_12,straight,0.0286
9,trial_13,tilt,0.0326
9,trial_14,straight,0.0297
10,trial_1,straight,0.0237
10,trial_2,straight,0.0237
10,trial_3,tilt,0.0258
10,trial_4,tilt,0.0294
10,trial_5,straight,0.0263
10,trial_6,tilt,0.028
10,trial_7,tilt,0.0238
10,trial_8,straight,0.0312
10,trial_9,straight,0.0242
10,trial_10,straight,0.0354
10,trial_11,tilt,0.0374
10,trial_12,straight,0.0311
10,trial_13,tilt,0.0307
10,trial_14,tilt,0.0251
11,trial_1,straight,0.0276
11,trial_2,tilt,0.0247
11,trial_3,straight,0.0261
11,trial_4,straight,0.0281
11,trial_5,tilt,0.023
11,trial_6,straight,0.0285
11,trial_7,tilt,0.0296
11,trial_8,straight,0.024
11,trial_9,straight,0.0239
11,trial_10,tilt,0.0268
11,trial_11,tilt,0.0306
11,trial_12,straight,0.0285
11,trial_13,tilt,0.0232
11,trial_14,tilt,0.0281
12,trial_1,tilt,0.0234
12,trial_2,straight,0.029
12,trial_3,tilt,0.0246
12,trial_4,straight,0.026
12,trial_5,tilt,0.0299
12,trial_6,straight,0.0302
12,trial_7,straight,0.029
12,trial_8,tilt,0.0263
12,trial_9,tilt,0.0243
12,trial_10,straight,0.023
12,trial_11,tilt,0.0275
12,trial_12,straight,0.0242
12,trial_13,tilt,0.0284
12,trial_14,straight,0.0282
